mname;smiles;homo;lumo;;
BTPQPTPA;CCC(CCCC)COC(C=C1)=CC=C1C2=C3C(N=C(C4=CC=C(C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C=C4C8=C9C=CC(C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%10)=C8)C9=N3)=C(C%13=CC=C(OCC(CCCC)CC)C=C%13)C%14=NSN=C%142;5.24;3.79;;
;O=C1C(C2=CC=C(C3=CC=C(C4=C(C=C5C6)C(OC4=O)=CC5=C(C7=CC=C(NCC)C=C7)C6=O)C=C3)S2)=C8C(N1CC(CC)CCCC)=C(C9=CC=C(C%10=CC=C(C%11=C(C=C%12O%13)C(CC%11=O)=CC%12=C(C%14=CC=C(NCC)C=C%14)C%13=O)C=C%10)S9)C(N8CC(CCCC)CC)=O;5.09;4.95;;
;O=C1C(C2=CC=C(C3=CC=C(C4=C(C=C5C6)C(OC4=O)=CC5=C(C7=CC=C(NCC)C=C7)C6=O)C=C3)S2)=C8C(N1CC(CCCCCCCC)CCCCCCCCCC)=C(C9=CC=C(C%10=CC=C(C%11=C(C=C%12O%13)C(CC%11=O)=CC%12=C(C%14=CC=C(NCC)C=C%14)C%13=O)C=C%10)S9)C(N8CC(CCCCCCCC)CCCCCCCCCC)=O;5.09;4.95;;
P1;O=C1C(C2=C(C3=CC=C(C(S4)=CC5=C4C(C=C(C(CCCCCCCC)(CCCCCCCC)C6=C7SC(C)=C6)C7=C8)=C8C5(CCCCCCCC)CCCCCCCC)S3)N1CC(CCCC)CC)=C(C9=CC=C(C)S9)N(CC(CCCC)CC)C2=O;5.44;3.66;;
P2;S=C1C(C2=C(C3=CC=C(C(S4)=CC5=C4C(C=C(C(CCCCCCCC)(CCCCCCCC)C6=C7SC(C)=C6)C7=C8)=C8C5(CCCCCCCC)CCCCCCCC)S3)N1CC(CC)CCCC)=C(C9=CC=C(C)S9)N(CC(CCCC)CC)C2=S;5.23;3.79;;
;[*]C(S1)=C(CC(CCCCCCCCCC)CCCCCCCC)C=C1C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C4=CC=C(C5=CC=C([*])S5)S4)S3)C6=NSN=C62;5.34;3.69;;
BTOC8;CCCCCCCCOC(C=C1)=CC=C1C2=C3C(N=C(C4=CC=C(C5=CC=C(N(C6=CC=C(OCCCCCCCC)C=C6)C7=CC=C(OCCCCCCCC)C=C7)C=C5)C=C4)C(C8=CC=C(C9=CC=C(N(C%10=CC=C(OCCCCCCCC)C=C%10)C%11=CC=C(OCCCCCCCC)C=C%11)C=C9)C=C8)=N3)=C(C%12=CC=C(OCCCCCCCC)C=C%12)C%13=NSN=C%132;5.27;3.8;;
HZ1;CC1=CC2=C(C3=CC=C(CCCCCCCC)S3)C4=C(C=C(C(S5)=C(CCCCCCCCCCCCCCCCCCCC)C=C5C6=C(F)C(F)=C(C7=CC(CCCCCCCCCCCCCCCCCCCC)=C(C)S7)C8=NSN=C86)S4)C(C9=CC=C(CCCCCCCC)S9)=C2S1;5.55;4.04;;
HZ3;[*]C(S1)=C(CC(CCCCCCCCCC)CCCCCCCC)C=C1C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C4=C(F)C(F)=C([*])S4)S3)C5=NSN=C52;5.35;3.87;;
HZ4;[*]C(S1)=C(CC(CCCCCCCCCC)CCCCCCCC)C=C1C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C4=CC=C([*])S4)S3)C5=NSN=C52;5.20;3.71;;
HZ5;[*]C(S1)=C(CC(CCCCCCCCCC)CCCCCCCC)C=C1C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62;5.20;3.87;;
SPIRO;COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC;5.0;2.05;;
